"IATA","ICAO"
MQX,HAMK
ASO,HASO
BJM,HBBA
HGA,HCMH
BBO,HCMI
KMU,HCMK
ALY,HEAX
ABS,HEBL
CAI,HECA
HRG,HEGN
EGR,HEGR
LXR,HELX
MUH,HEMM
PSD,HEPS
SKV,HESC
ASW,HESN
ELT,HETR
EDL,HKEL
KIS,HKKI
KTL,HKKT
LOK,HKLO
LAU,HKLU
MBA,HKMO
WIL,HKNW
WJR,HKWJ
GHT,HLGT
AKF,HLKF
BEN,HLLB
SEB,HLLS
TIP,HLLT
LTD,HLTD
GYI,HRYG
KGL,HRYR
KME,HRZA
DOG,HSDN
ELF,HSFS
KSL,HSKA
EBD,HSOB
JUB,HSSJ
MAK,HSSM
KRT,HSSS
ARK,HTAR
DAR,HTDA
DOD,HTDO
IRI,HTIR
JRO,HTKJ
LKY,HTLM
MYW,HTMT
MWZ,HTMW
PMA,HTPE
TGT,HTTG
ZNZ,HTZA
EBB,HUEN
SRT,HUSO
TIA,LATI
BOJ,LBBG
GOZ,LBGO
PDV,LBPD
SOF,LBSF
VAR,LBWN
LCA,LCLK
PFO,LCPH
AKT,LCRA
DBV,LDDU
OSI,LDOS
PUY,LDPL
RJK,LDRI
SPU,LDSP
ZAG,LDZA
ZAD,LDZD
ALC,LEAL
LEI,LEAM
OVD,LEAS
ODB,LEBA
BIO,LEBB
BCN,LEBL
BJZ,LEBZ
LCG,LECO
GRO,LEGE
GRX,LEGR
IBZ,LEIB
XRY,LEJR
MJV,LELC
MAD,LEMD
AGP,LEMG
MAH,LEMH
OZP,LEMO
PNA,LEPP
REU,LERS
SLM,LESA
EAS,LESO
SCQ,LEST
LEU,LESU
TOJ,LETO
VLC,LEVC
VLL,LEVD
VIT,LEVT
VGO,LEVX
SDR,LEXJ
ZAZ,LEZG
SVQ,LEZL
CQF,LFAC
LTQ,LFAT
AGF,LFBA
BOD,LFBD
EGC,LFBE
CNG,LFBG
PIS,LFBI
MCU,LFBK
LIG,LFBL
NIT,LFBN
TLS,LFBO
PUF,LFBP
LDE,LFBT
ANG,LFBU
BVE,LFSL
PGX,LFBX
BIQ,LFBZ
XAC,LFCH
LBI,LFCI
DCM,LFCK
RDZ,LFCR
RYN,LFCY
RCO,LFDN
CMR,LFGA
DLE,LFGJ
OBS,LFHO
LPY,LFHP
XBK,LFHS
XVF,LFHV
XMU,LFHY
ETZ,LFJL
BIA,LFKB
CLY,LFKC
FSC,LFKF
AJA,LFKJ
SOZ,LFKS
AUF,LFLA
CMF,LFLB
CFE,LFLC
BOU,LFLD
XCD,LFLH
QNJ,LFLI
LYS,LFLL
QNX,LFLM
RNE,LFLO
NCY,LFLP
GNB,LFLS
VAF,LFLU
VHY,LFLV
AUR,LFLW
CHR,LFLX
LYN,LFLY
QXB,LFMA
CEQ,LFMD
EBU,LFMH
CCF,LFMK
MRS,LFML
NCE,LFMN
PGF,LFMP
CTT,LFMQ
MPL,LFMT
BZR,LFMU
AVN,LFMV
MEN,LFNB
BVA,LFOB
LEH,LFOH
ORE,LFOJ
XCR,LFOK
URO,LFOP
TUF,LFOT
CET,LFOU
LVA,LFOV
LBG,LFPB
CSF,LFPC
CDG,LFPG
TNF,LFPN
ORY,LFPO
POX,LFPT
QYR,LFQB
NVS,LFQG
LIL,LFQQ
BES,LFRB
CER,LFRC
DNR,LFRD
GFR,LFRF
DOL,LFRG
LRT,LFRH
EDM,LFRI
CFR,LFRK
LME,LFRM
RNS,LFRN
LAI,LFRO
UIP,LFRQ
NTE,LFRS
SBK,LFRT
MXN,LFRU
VNE,LFRV
SNR,LFRZ
BSL,LFSB
DIJ,LFSD
MZM,LFSF
EPL,LFSG
ENC,LFSN
RHE,LFSR
SXB,LFST
TLN,LFTH
FNI,LFTW
MQC,LFVM
FSP,LFVP
PYR,LGAD
AGQ,LGAG
AXD,LGAL
VOL,LGBL
JKH,LGHI
IOA,LGIO
HER,LGIR
KSO,LGKA
KIT,LGKC
EFL,LGKF
KLX,LGKL
KGS,LGKO
AOK,LGKP
CFU,LGKR
KSJ,LGKS
KVA,LGKV
KZI,LGKZ
LRS,LGLE
LXS,LGLM
LRA,LGLR
JMK,LGMK
MJT,LGMT
PVK,LGPZ
RHO,LGRP
GPA,LGRX
CHQ,LGSA
JSI,LGSK
SMI,LGSM
JTR,LGSR
JSH,LGST
SKU,LGSY
SKG,LGTS
ZTH,LGZA
BUD,LHBP
DEB,LHDC
CRV,LIBC
BRI,LIBD
FOG,LIBF
TAR,LIBG
LCC,LIBN
PSR,LIBP
BDS,LIBR
SUF,LICA
CTA,LICC
LMP,LICD
PNL,LICG
PMO,LICJ
REG,LICR
TPS,LICT
NSY,LICZ
AHO,LIEA
DCI,LIED
CAG,LIEE
OLB,LIEO
TTB,LIET
MXP,LIMC
BGY,LIME
TRN,LIMF
ALL,LIMG
GOA,LIMJ
LIN,LIML
PMF,LIMP
QPZ,LIMS
CUF,LIMZ
AVB,LIPA
BZO,LIPB
BLQ,LIPE
TSF,LIPH
FRL,LIPK
VBS,LIPO
TRS,LIPQ
RMI,LIPR
VIC,LIPT
QPA,LIPU
VRN,LIPX
VCE,LIPZ
SAY,LIQS
CIA,LIRA
FCO,LIRF
EBA,LIRJ
